scene_index,scene_id,overlap_fraction,centroid_separation_psf,source_flux_ratio,total_brightness_electrons,log10_total_brightness_electrons,morphology_similarity,color_similarity,sersic_parameter_similarity,bulge_fraction_difference,effective_radius_ratio,psf_sensitivity_log10_condition_gain,s1_condition_number,log10_s1_condition_number,s1_endpoint_multiplicity,s1_image_diameter,s1_morphology_diameter,s1_flux_allocation_diameter,source_a_bulge_fraction,source_b_bulge_fraction,source_a_effective_radius_arcsec,source_b_effective_radius_arcsec,source_a_effective_sersic_n,source_b_effective_sersic_n,isolated_arrays_used_for_post_fit_features_only,response_resolved,response_label,photometry_helpful,included_in_corrected_analysis,corrected_interpretable_scene_count,corrected_helpful_scene_count,corrected_helpful_rate,exact_95pct_ci_lower,exact_95pct_ci_upper
0,v2_r_training_00000,0.61024765555824,1.6621352485183092,0.08523590911745495,642826.0161796679,5.808093445027569,0.9810892709842942,0.9592265070422564,0.6830671554802654,0.0,0.6385150240992497,-0.004340529774560001,453.6214377717365,2.6566935707657304,1,0.0,0.0,0.0,0.0,0.0,0.4902796237865484,0.313050905797439,1.0,1.0,True,True,Photometry Helpful,True,True,8,4,0.5,0.15701277048705795,0.842987229512942
3,v2_r_training_00003,0.5940542881482321,2.969125246277538,0.09312220421791997,338501.59519950964,5.529560719652514,0.8434953632102471,0.9673670612314552,0.7450750024469175,1.0,0.25760395611731657,0.014586763926959607,540.6525926448682,2.73291828994667,3,0.0013972822125068258,0.0030063951583554917,6.767123467607383e-05,1.0,0.0,0.3066079338523034,1.1902299113475947,4.0,1.0,True,True,Photometry Not Helpful,False,True,8,4,0.5,0.15701277048705795,0.842987229512942
5,v2_r_training_00005,0.014342662976154129,4.829838903551729,0.8211291164075664,36356.26324989193,4.560579239419325,0.991166618033131,0.9362722501200869,0.8846309961122701,0.0,0.2612201377579493,-0.4236482494871234,307.35310872091986,2.4876376101476634,1,0.0,0.0,0.0,0.0,0.0,0.13867655073284507,0.03622510768623103,1.0,1.0,True,True,Photometry Helpful,True,True,8,4,0.5,0.15701277048705795,0.842987229512942
6,v2_r_training_00006,0.8499845152920037,0.30785828597345544,0.785440418799939,265268.1535423952,5.42368511439624,0.9976880836898211,0.9721800459391449,0.7981236578573436,0.06835637050400996,0.6308186863828893,-0.0008586856971055025,2146.288582262365,3.331688115233871,1,0.0,0.0,0.0,0.06835637050400996,0.0,0.12992225709089883,0.20595816182280888,1.2050691115120298,1.0,True,True,Photometry Not Helpful,False,True,8,4,0.5,0.15701277048705795,0.842987229512942
18,v2_r_training_00018,0.6100239614858856,0.8115706621173882,0.34718013978028167,47179.80287087883,4.673756121961437,0.9536232997210566,0.657299668890658,0.7935267626251212,0.15462685009827942,0.36697827804703825,inf,572.7537493059677,2.7579679408078572,1,0.0,0.0,0.0,0.15462685009827942,0.0,0.20435423024089164,0.5568564747984841,1.4638805502948382,1.0,True,True,Photometry Not Helpful,False,True,8,4,0.5,0.15701277048705795,0.842987229512942
51,v2_r_training_00051,0.03565346291942731,3.3869226144504405,0.9318053692905074,79991.61700710468,4.90304447601296,0.999261219662374,0.9949222528284736,0.762188274791621,0.0022277160914429502,0.952087707425875,-0.09702516655707814,432.3824944550614,2.63586810268306,2,6.838197859536586e-05,0.00012196098569643327,3.3839703973880552e-06,0.0,0.0022277160914429502,0.2959714895215998,0.28179081692204133,1.0,1.0066831482743288,True,True,Photometry Helpful,True,True,8,4,0.5,0.15701277048705795,0.842987229512942
73,v2_r_training_00073,0.32198352408760744,1.6399975086010192,0.6244223303402989,176561.7271432192,5.24689656848335,0.9925741855629067,0.8938934539869101,0.718221260414831,0.0,0.8136721910714678,0.27730565891093323,479.0371390608092,2.680369184946747,1,0.0,0.0,0.0,0.0,0.0,0.4643061261371052,0.3777929829818837,1.0,1.0,True,True,Photometry Helpful,True,True,8,4,0.5,0.15701277048705795,0.842987229512942
81,v2_r_training_00081,0.01959714723963919,5.441502002189477,0.8940426526487664,2441831.8712713793,6.387715757932867,0.9679029353345021,0.9907906554734657,0.7618048348335411,0.007598972366822998,0.8362362323850572,0.21535431315523543,212.03946282188002,2.32641669531958,5,3.7507461385334684e-06,2.6300231365248844e-05,2.975877772294531e-06,0.0818288363444706,0.0894278087112936,0.4099686039487152,0.4902545334342069,1.2454865090334117,1.268283426133881,True,True,Photometry Not Helpful,False,True,8,4,0.5,0.15701277048705795,0.842987229512942
