scene_index,condition,scene_classification,response_resolved,photometry_helpful,p2_classification,external_classification,p2_to_external_classification_improvement,p2_endpoint_classes,external_endpoint_classes,p2_to_external_endpoint_reduction,p2_requested_image_diameter,p2_companion_image_diameter,p2_flux_allocation_diameter,p2_morphology_parameter_diameter,external_requested_image_diameter,external_companion_image_diameter,external_flux_allocation_diameter,external_morphology_parameter_diameter,p2_to_external_image_diameter_fraction_reduction,p2_to_external_morphology_diameter_fraction_reduction,p2_to_external_flux_allocation_diameter_fraction_reduction,material_improvement_under_frozen_rule
5,TOTAL_SOURCE_PHOTOMETRY,HELPFUL,True,True,NON_IDENTIFIABLE,NEAR_UNIQUE,2,2,1,1,0.0007855887361081933,0.00022984253746638435,6.784648426928735e-05,0.0033767474707978302,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
18,TOTAL_SOURCE_PHOTOMETRY,NOT_HELPFUL,True,False,NEAR_UNIQUE,NON_IDENTIFIABLE,-2,1,2,-1,0.0,0.0,0.0,0.0,4.540574440505339e-05,9.131701782508201e-05,2.751431899979803e-06,0.9246837083016627,-1.0,-1.0,-1.0,False
