condition,scenes,prompt_views,steps,seed,device,cpu_fallback,initial_total,final_total,objective_reduction,initial_requested_l1,final_requested_l1,requested_l1_reduction,initial_companion_l1,final_companion_l1,companion_l1_reduction,prompt_identity_rate,systematic_source_inversion,requested_negative_fraction,companion_negative_fraction,nonfinite_fraction,maximum_conservation_error,maximum_conservation_tolerance,head_update_norm,nonfinal_decoder_update_norm,hidden_gradient_seen,runtime_seconds,pass
ordinary_one_scene,1,2,1500,2026071511,mps,False,48.9471435546875,0.05089760571718216,0.9989601516652281,0.697933554649353,0.015461678616702557,0.9778464890909699,0.503750205039978,0.018266795203089714,0.9637383865647459,1.0,False,0.0,0.0,0.0,0.00469970703125,0.7890210937500001,0.5672549605369568,6.687380313873291,True,32.649027824401855,True
difficult_one_scene,1,2,2000,2026071512,mps,False,9.415140151977539,0.052586738020181656,0.9944146622173079,0.18456600606441498,0.018573982641100883,0.8993640105393058,0.47515398263931274,0.018214121460914612,0.961666907725909,0.5,False,0.0,0.0,0.0,0.0008544921875,0.18798623046875002,0.7062111496925354,6.006260871887207,True,44.313417196273804,False
mixed_eight_scene,8,16,3000,2026071513,mps,False,57.32988739013672,0.031075039878487587,0.9994579609119583,0.4873238503932953,0.013216625899076462,0.9728791728777281,0.5355799794197083,0.00778049323707819,0.9854727705738586,0.5625,False,0.0,0.0,0.0,0.0029296875,0.42576164062500005,0.6420641541481018,7.927220344543457,True,108.03385663032532,False
