partition,source_count,group_count,actual_fraction,target_fraction,source_overlap_count,group_overlap_count,engineering_leakage_count,missing_value_count,r_ab_mean,r_ab_std,r_ab_ks_vs_all,redshift_mean,redshift_std,redshift_ks_vs_all,size_arcsec_mean,size_arcsec_std,size_arcsec_ks_vs_all,ellipticity_proxy_mean,ellipticity_proxy_std,ellipticity_proxy_ks_vs_all,g_minus_z_mean,g_minus_z_std,g_minus_z_ks_vs_all
training,60339,60334,0.6998828482943408,0.7,0,0,0,0,26.460283786341343,1.3625371787522567,0.0011668507799609262,1.4876124408385658,0.8812836373649742,0.0011189473384648485,0.39206164941164356,0.3567757254464053,0.0012902045351211866,0.2349891296965284,0.1784034690305503,0.0020961485946185965,0.9755850064903513,0.9806722721447304,0.0015444445239586324
validation,8630,8628,0.10010091285536984,0.1,0,0,0,0,26.466428046596857,1.3655609539115035,0.0055893163042156635,1.4858882662115762,0.8855051351394411,0.006370971924758995,0.3867959275945299,0.3299980985772294,0.009172951806460522,0.23763851333334526,0.17945762505860058,0.008069044656018431,0.9698815203211356,0.9644452755167846,0.007044468899342404
calibration,6901,6897,0.08004593274796144,0.08,0,0,0,0,26.459439208274905,1.3652112658065105,0.0055966920022862965,1.4879933891051538,0.8770997037654863,0.00709823687389758,0.3891862089834949,0.3464092900297954,0.0075913002985819045,0.23428072928060653,0.17662377662134623,0.007434779457347829,0.98735129924879,0.9928957567612936,0.00912065731499001
development_test,6033,6032,0.06997784556853374,0.07,0,0,0,0,26.46100704124134,1.362937453900614,0.005802598292566685,1.495745430170908,0.898836854037447,0.007414716874610816,0.39385109444124805,0.3445154007247185,0.01273157047618445,0.2363432582233839,0.17848856168856905,0.008593680246371083,0.9792601488797115,0.9778730904428043,0.005824873791542895
sealed_lockbox,4310,4309,0.049992460533794206,0.05,0,0,0,0,26.46067132750719,1.3623278987448824,0.006048247793336958,1.4990681943477235,0.9008870978599473,0.011915696415097488,0.3905268745639535,0.36329891673314435,0.015344879243802456,0.23706641056003466,0.18096778636905825,0.012914851289781537,0.9845453939417866,0.9777792701523259,0.008957149592509595
