method,initialization,objective_evaluations,gradient_evaluations,auxiliary_jacobian_gradients,accepted_updates,runtime_seconds,initial_objective,final_objective,objective_reduction_fraction,ordinary_own_coverage,ambiguous_own_coverage,ambiguous_alternate_coverage,ambiguous_both_mode_coverage,truth_stationary,path_length,source_allocation_change_l2,total_light_change_l2,assignment_margin_final,projection_clipping_fraction_final,finite
C0_RAW_ADAM,sa_compromise,401,400,0,400,26.694328083,19.09953498840332,15.01481819152832,0.21386472494514241,0.28125,0.8125,0.8125,0.8125,True,21814.80859375,12993.3642578125,10668.8291015625,5.607321262359619,0.0,True
C0_RAW_ADAM,thayer_me_experts,401,400,0,400,26.082355041000003,75.71236419677734,14.25673770904541,0.8116986854090043,0.03125,0.0,0.0,0.0,True,77281.32006835938,20237.734375,82156.5703125,7.1134867668151855,0.0,True
C0_RAW_ADAM,collapsed_means,401,400,0,400,26.822744457999995,11.205763816833496,6.278045654296875,0.43974852969273864,0.09375,0.28125,0.28125,0.25,True,19271.596069335938,7370.25927734375,17798.39453125,0.0,0.0,True
C0_RAW_ADAM,wrong_allocations,401,400,0,400,27.224071291,34.89622116088867,19.09953498840332,0.45267612500662724,0.03125,0.4375,0.4375,0.3125,True,37120.65246582031,18812.99609375,18407.3515625,4.829358100891113,0.0,True
C0_RAW_ADAM,exact_truths,401,400,0,400,26.351264541999996,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,6.483456134796143,0.0,True
C1_RAW_LBFGS,sa_compromise,88,35,0,34,4.237870583000017,19.09953498840332,16.244487762451172,0.14948255167917177,0.3125,0.5625,0.5625,0.375,True,28211.8759765625,14346.625,27475.962890625,5.300676345825195,0.0,True
C1_RAW_LBFGS,thayer_me_experts,211,100,0,99,10.421103625,75.71236419677734,6.59722375869751,0.9128646446497002,0.125,0.84375,0.875,0.75,True,99739.265625,27059.416015625,91873.1953125,6.633139610290527,0.0,True
C1_RAW_LBFGS,collapsed_means,9,1,0,0,0.6014222080000025,11.205763816833496,11.205763816833496,0.0,0.0,0.28125,0.28125,0.25,True,0.0,0.0,0.0,0.0,0.0,True
C1_RAW_LBFGS,wrong_allocations,164,75,0,74,7.959996084000011,34.89622116088867,16.525362014770508,0.5264426500915244,0.09375,0.4375,0.4375,0.125,True,34839.01708984375,18399.666015625,11036.2451171875,5.155688285827637,0.0,True
C1_RAW_LBFGS,exact_truths,1,1,0,0,0.26746929200001546,0.0,0.0,0.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,6.483456134796143,0.0,True
