condition,scope,contract,ranking,target_coverage,accepted_count,total_count,realized_coverage,selective_risk,accepted_source_mse,catastrophic_failure_rate,hallucination_rate,source_confusion_rate,mean_flux_error,mean_color_error,mean_centroid_error,accepted_query_composition,rejected_query_composition
PhaseI_C,all,strict,oracle,0.5,1000,2000,0.5,0.999,345578.6786950957,0.532,0.018,0.012,10.16401327852043,0.631806867314685,4.349931860173584,"{""AMBIGUOUS_SOURCE"": 208, ""NULL_SOURCE"": 190, ""PERTURBED_VALID"": 163, ""VALID_SOURCE"": 439}","{""AMBIGUOUS_SOURCE"": 192, ""NULL_SOURCE"": 210, ""PERTURBED_VALID"": 137, ""VALID_SOURCE"": 461}"
PhaseI_C,all,strict,random,1.0,2000,2000,1.0,0.9995,2679715.8224526267,0.516,0.015,0.0145,9.755414032106524,0.6296919173286522,4.25077870528359,"{""AMBIGUOUS_SOURCE"": 400, ""NULL_SOURCE"": 400, ""PERTURBED_VALID"": 300, ""VALID_SOURCE"": 900}",{}
PhaseI_C,all,strict,random,0.95,1900,2000,0.95,1.0,2799909.2350749765,0.5210526315789473,0.014736842105263158,0.014210526315789474,9.893390334160394,0.6346530424893105,4.2699378496704785,"{""AMBIGUOUS_SOURCE"": 380, ""NULL_SOURCE"": 373, ""PERTURBED_VALID"": 288, ""VALID_SOURCE"": 859}","{""AMBIGUOUS_SOURCE"": 20, ""NULL_SOURCE"": 27, ""PERTURBED_VALID"": 12, ""VALID_SOURCE"": 41}"
PhaseI_C,all,strict,random,0.9,1800,2000,0.9,1.0,2950861.6639809352,0.5216666666666666,0.015,0.013888888888888888,10.072061674550238,0.6350331136027314,4.282036175698666,"{""AMBIGUOUS_SOURCE"": 361, ""NULL_SOURCE"": 352, ""PERTURBED_VALID"": 276, ""VALID_SOURCE"": 811}","{""AMBIGUOUS_SOURCE"": 39, ""NULL_SOURCE"": 48, ""PERTURBED_VALID"": 24, ""VALID_SOURCE"": 89}"
PhaseI_C,all,strict,random,0.8,1600,2000,0.8,1.0,3280616.923115919,0.523125,0.015,0.01375,9.642055557679425,0.6398639663289655,4.2187832105376435,"{""AMBIGUOUS_SOURCE"": 321, ""NULL_SOURCE"": 308, ""PERTURBED_VALID"": 240, ""VALID_SOURCE"": 731}","{""AMBIGUOUS_SOURCE"": 79, ""NULL_SOURCE"": 92, ""PERTURBED_VALID"": 60, ""VALID_SOURCE"": 169}"
PhaseI_C,all,strict,random,0.7,1400,2000,0.7,1.0,3737772.7200970687,0.5235714285714286,0.013571428571428571,0.013571428571428571,9.455947052215409,0.6414068295346148,4.27153277288748,"{""AMBIGUOUS_SOURCE"": 281, ""NULL_SOURCE"": 269, ""PERTURBED_VALID"": 206, ""VALID_SOURCE"": 644}","{""AMBIGUOUS_SOURCE"": 119, ""NULL_SOURCE"": 131, ""PERTURBED_VALID"": 94, ""VALID_SOURCE"": 256}"
PhaseI_C,all,strict,random,0.5,1000,2000,0.5,1.0,5120684.344121559,0.517,0.012,0.014,9.479941912199305,0.6267469637982299,4.196490186729657,"{""AMBIGUOUS_SOURCE"": 203, ""NULL_SOURCE"": 194, ""PERTURBED_VALID"": 153, ""VALID_SOURCE"": 450}","{""AMBIGUOUS_SOURCE"": 197, ""NULL_SOURCE"": 206, ""PERTURBED_VALID"": 147, ""VALID_SOURCE"": 450}"
PhaseI_C,all,moderate,model,1.0,2000,2000,1.0,0.9965,2679715.822452626,0.516,0.015,0.0145,9.755414032106522,0.6296919173286522,4.25077870528359,"{""AMBIGUOUS_SOURCE"": 400, ""NULL_SOURCE"": 400, ""PERTURBED_VALID"": 300, ""VALID_SOURCE"": 900}",{}
PhaseI_C,all,moderate,model,0.95,1900,2000,0.95,0.9968421052631579,2799945.0749773406,0.5194736842105263,0.015263157894736841,0.01368421052631579,9.9942756943492,0.6302864268183082,4.2826000706511484,"{""AMBIGUOUS_SOURCE"": 380, ""NULL_SOURCE"": 373, ""PERTURBED_VALID"": 291, ""VALID_SOURCE"": 856}","{""AMBIGUOUS_SOURCE"": 20, ""NULL_SOURCE"": 27, ""PERTURBED_VALID"": 9, ""VALID_SOURCE"": 44}"
PhaseI_C,all,moderate,model,0.9,1800,2000,0.9,0.9966666666666667,2946899.624681824,0.5166666666666667,0.01611111111111111,0.014444444444444444,9.54023991965871,0.6302044821430994,4.27436893265818,"{""AMBIGUOUS_SOURCE"": 364, ""NULL_SOURCE"": 354, ""PERTURBED_VALID"": 279, ""VALID_SOURCE"": 803}","{""AMBIGUOUS_SOURCE"": 36, ""NULL_SOURCE"": 46, ""PERTURBED_VALID"": 21, ""VALID_SOURCE"": 97}"
