scene_index,scene_id,family,level,condition,classification,unique,source,minimum_structural_family_required
18,v2_r_training_00018,union,minimum permitted family,S2,PARTIALLY_IDENTIFIABLE,False,derived_union,none
51,v2_r_training_00051,union,minimum permitted family,S2,NEAR_UNIQUE,False,derived_union,none
73,v2_r_training_00073,union,minimum permitted family,S2,PARTIALLY_IDENTIFIABLE,False,derived_union,none
81,v2_r_training_00081,union,minimum permitted family,S2,NEAR_UNIQUE,False,derived_union,none
0,v2_r_training_00000,union,minimum permitted family,P2,PARTIALLY_IDENTIFIABLE,False,derived_union,none
3,v2_r_training_00003,union,minimum permitted family,P2,NEAR_UNIQUE,False,derived_union,none
5,v2_r_training_00005,union,minimum permitted family,P2,NON_IDENTIFIABLE,False,derived_union,none
6,v2_r_training_00006,union,minimum permitted family,P2,NEAR_UNIQUE,False,derived_union,none
18,v2_r_training_00018,union,minimum permitted family,P2,NEAR_UNIQUE,False,derived_union,none
51,v2_r_training_00051,union,minimum permitted family,P2,NON_IDENTIFIABLE,False,derived_union,none
73,v2_r_training_00073,union,minimum permitted family,P2,PARTIALLY_IDENTIFIABLE,False,derived_union,none
81,v2_r_training_00081,union,minimum permitted family,P2,NEAR_UNIQUE,False,derived_union,none
