condition,scene_count,aggregation,whole_mse,whole_mae,source_mse,source_mae,core_mse,core_mae,noncore_mse,noncore_mae,psnr,ssim,g_flux_fraction_error,r_flux_fraction_error,z_flux_fraction_error,g_minus_r_color_error,r_minus_z_color_error,centroid_error_pixels,whole_mse_ci95_low,whole_mse_ci95_high,source_mse_ci95_low,source_mse_ci95_high,worse_than_input_count
A_centered_no_prompt,1000,macro_per_scene,261611.9564087743,50.95954686885478,1827208.3523267417,162.51776407824406,19284512.013431117,646.6044825277336,656853.0705206328,124.32240189740371,20.496693417727226,0.19131135630347199,6.368732465050835,4.964573022517368,7.829781542940927,-0.056258653380454805,0.18867489331505258,2.5595989523068163,86467.33111880983,512010.59867444885,529855.6690863464,3953936.9880685825,26
B_randomized_no_prompt,1000,macro_per_scene,276782.4601892258,41.370063485392265,2029313.5879035494,174.49734097154237,22157823.481823076,787.2300223587539,707767.165118458,126.1301312362926,23.2453070477055,0.2478003199485657,2.848227151522286,0.5511455275092885,1.0847988212527884,-1.1121556115105582,-0.46709019414920305,6.036180191777448,89974.21503219173,538727.3478077505,634666.5524380533,4269436.734551392,35
C_randomized_coordinate_prompt,1000,macro_per_scene,223204.05762749584,29.933698891692423,1020042.1531907367,154.34464808379317,9318973.90883004,524.6608158063744,418510.6555378133,123.59625042167534,25.91877872682869,0.3846048316424248,5.837638953766817,6.409871266874345,9.843371841524931,0.14814477146049485,0.1725252850147135,3.824463247022522,46926.996777359374,469819.99263909913,300943.0195082431,2301681.675996798,20
